#thumb
4.6,1.2,5.71
4.25,1.9,5.71
3.5,2.5,5.71
2.65,3,13.5
1.65,3.7,30
0.3,4.15,48.8
-0.35,4.15,59
#index
6.5,2.5,5.71
6.1,3.35,5.71
5.4,3.1,5.71
4.15,3.15,5.71
3.3,4,17.7
1.75,5,35.4
0,5,51.34
#middle
6.75,2.5,5.71
6,3,5.71
4.5,5,26.565
3,6.2,41.6
1.25,6.5,55.78
0.5,6,55.78
#ring
6.5,2.5,5.71
6.1,3.35,5.71
5.4,3.1,5.71
4.15,3.15,5.71
3.3,4,17.7
1.75,5,35.4
0,5,51.34
#pinky
3.75,2.75,17.7
3.65,3,17.7
2.85,3.35,17.7
1.75,3.3,17.7
0.8,3.5,32.1
-0.5,3.6,51.34
-1.5,3.25,69
